Marca,Modelo,Titulo,category,listPrice,sku
,,Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 406 Litros VB40RE 110V - 110v 110v,Geladeira/Refrigerador,,671444200
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN41 371 Litros Branco 110V,Geladeira/Refrigerador,,607497100
Consul,CRM51A,Geladeira/Refrigerador Consul Frost Free Duplex - 405L Painel Digital Touch CRM51ABANA Branco,Geladeira/Refrigerador Frost Free,,088879400
Panasonic,NR-BT47BD2WA,Geladeira/Refrigerador Panasonic Frost Free Duplex - 435L regeneration NR-BT47BD2WA Branco,Geladeira/Refrigerador Frost Free,,084267200
Consul,CRM38NB,Geladeira/Refrigerador Consul Frost Free Duplex  - 340L CRM38NB Branco,Geladeira/Refrigerador Frost Free,,013072401
Consul,CRD49AK,Geladeira/Refrigerador Consul Cycle Defrost Evox - Duplex 450L CRD49AKANA,Geladeira/Refrigerador,,013010400
Brastemp,BRM50NK,Geladeira/Refrigerador Brastemp Frost Free Evox - Duplex 429L Ative! BRM50NKANA,Geladeira/Refrigerador,,013021000
Consul,CRD46AB,Geladeira/Refrigerador Consul Cycle Defrost Duplex - 415L CRD46ABANA,Geladeira/Refrigerador,,013020801
,,Geladeira Refrigerador Electrolux 310 Litros Frost Free 2 Portas DFX39,Geladeira/Refrigerador,,618402800
Brastemp,BRM42EK,Geladeira/Refrigerador Brastemp Frost Free Evox - Duplex 378L Clean BRM42EKANA,Geladeira/Refrigerador,,086799300
Electrolux,DF35A,Geladeira/Refrigerador Electrolux Frost Free - Duplex 261L DF35A11006 Branco,Geladeira/Refrigerador Frost Free,,088806300
BenMax,BMDB,Chopeira BenMax com Função Frigobar - BMDB,Frigobar,,084260200
Panasonic,NR-BT42BV1WA,Geladeira/Refrigerador Panasonic Frost Free Duplex - 387L re generation NR-BT42BV1WA Branco,Geladeira/Refrigerador Frost Free,,013040501
Brastemp,BRM50NB,Geladeira/Refrigerador Brastemp Frost Free Duplex - 429L Ative! BRM50NBANA Branco,Geladeira/Refrigerador Frost Free,,010066201
Consul,CRA30,Geladeira/Refrigerador Consul Degelo Seco 261L - CRA30FBANA Branco,Geladeira/Refrigerador,,010053401
Brastemp,BRE50NK,Geladeira/Refrigerador Brastemp Frost Free Evox - Inverse 422L Ative! BRE50NKANA,Geladeira/Refrigerador,,013021400
